cabecalho,data_hora,imagens
"[PUBLICAÇÃO] A Revista Ação e Sociedade está de cara nova e abre inscrições para submissão de textos. As submissões serão feitas pela plataforma OJS, no período de 28 de março a 28 de maio. O objetivo é selecionar trabalhos resultantes de ações extensionistas e/ou em interface com o ensino e a pesquisa. Serão selecionados para publicação dez textos com as melhores avaliações.Acesse nosso portal e saiba mais. #publicacao #extensao #ifgoiano",2023-03-28 18:09:00,1
"[FAROL LITERÁRIO] Já estão participando do 10º Concurso de Contos e 3º Concurso de Poemas do IF Goiano? Ainda não? Então prepare seu texto e inscreva-se 21 de maio!Podem participar participar estudantes do IF Goiano e comunidade externa, incluindo alunos de escolas públicas e particulares, que tenham a idade mínima de 14 anos. A comissão organizadora realizará lives para auxiliar os candidatos na escrita dos contos e poemas!Os primeiros colocados receberão medalhas e certificados. Também serão convidados para participar de uma mesa durante a III Feira Literária do Vale de São Patrício (Flivasp), evento que será realizado de 24 a 26 de agosto. Os classificados terão, ainda, seus textos publicados em um livro, revista ou e-book de coletâneas organizado pelo IF Goiano.>>> Mais informações e inscrições no nosso Portal.",2023-03-28 14:55:00,1
"[CURSOS SUPERIORES] Hoje é o último dia de inscrições para quem quer fazer um curso superior no IF Goiano. São 223 vagas distribuídas entre Trindade, Morrinhos e Ceres.A oferta é para quem tem alguma nota do ENEM entre os anos de 2015 a 2022. Para saber mais, acesse: www.ifgoiano.edu.br/superior#cursossuperiores #ifgoiano #processoseletivo",2023-03-28 12:35:00,1
"[BIBLIOTECA] Dever livro na Biblioteca é algo raro, mas que acontece com frequência? Pra ajudar a gerar o documento necessário para pagar a multa, o setor de Bibliotecas montou um tutorial e mandou para o e-mail de todos os estudantes. Vai lá conferir!#multanabiblioteca #fiqueemdiacomseusempréstimos",2023-03-27 12:00:00,1
"[SAIU NA IMPRENSA!] Pesquisa de professor do IF Goiano foi destaque em vários veículos de comunicação nesta semana. O estudo, desenvolvido pelo pesquisador Matias Noll, do Campus Ceres, identificou que adolescentes que usam celular por mais de 3 horas ao dia têm mais dor na coluna. Foram avaliados 1.628 estudantes de ambos os sexos entre 14 e 18 anos de idade, matriculados no primeiro e no segundo anos do ensino médio.#saiunaimprensa #ifgoianonamidia",2023-03-24 21:22:00,1
"[INCLUSÃO] ATENÇÃO: Estão abertas as inscrições para identificação, cadastro e seleção de candidatos à utilização de cães-guia! A seleção é direcionada a pessoas cegas ou com baixa visão, residentes em Goiás ou Distrito Federal e que sejam maiores de 18 anos, ou dezesseis anos se emancipado e com capacidade para exercer os atos da vida civil, no momento da apresentação dos documentos.Os cães-guia serão ofertados gratuitamente após serem treinados pelo Centro de Formação de Treinadores e Instrutores de Cães-Guia do IF Goiano – Campus Urutaí.Interessou? As inscrições vão até 22 de abril. Vai lá no nosso portal e confira o edital e outras informações! E não esquece de contar para todo mundo  #IFGoiano #ProgramaCãoGuia #CãoGuia",2023-03-23 14:15:00,1
"[MÊS DA MULHER] Representando a militância feminina como forma de promover a formação de uma comunidade acadêmica consciente, crítica e vigilante, apresentamos hoje o depoimento da Natália Louzada, professora e pesquisadora do Campus Ceres. Além do feminismo, desde que entrou na Instituição, em 2015, ela tem centrado sua atividade profissional em temas relacionados à diversidade étnico-racial, de gênero e sexualidade e direitos humanos.#mesdamulher #ifgoiano",2023-03-22 19:21:00,4
"[CURSOS SUPERIORES] Perdeu prazo no nosso último processo seletivo? A gente te dá outra chance!!! Estão abertas as inscrições do nosso Processo Seletivo de Vagas Remanescentes de Cursos Superiores. São 223 vagas distribuídas entre Trindade, Morrinhos e Ceres. A oferta é para quem tem alguma nota do ENEM entre os anos de 2015 a 2022. Para saber mais, acesse: www.ifgoiano.edu.br/superior#cursossuperiores #ifgoiano #processoseletivo",2023-03-22 17:27:00,1
"[BOLETIM] Já deu uma conferida no Boletim de Pesquisa, Pós-Graduação e Inovação deste mês? A publicação voltou com tudo este ano e, no mês da Mulher, lançou uma nova editoria: Pesquisador(a) Destaque, homenageando duas cientistas da Instituição vencedoras do Prêmio Fapeg 2022.Confira a edição completa no nosso portal: https://bit.ly/3JN6DCT#boletimdaproppi #boletimdepesquisa #ediçãodemarço",2023-03-17 13:08:00,1
[CAMPANHA] Ainda tem dúvidas sobre o nosso nome correto? Então confere esse post.,2023-03-14 17:00:00,4
"Está na lista de espera para um dos cursos do IF Goiano pelo Sisu? Então, veja essas orientações para efetuar a matrícula que você está a um passo de estudar aqui com a gente! Bora, bora que o prazo terminar hoje!",2023-03-14 12:42:00,1
Quando a gente fala que o IF Goiano te prepara para tudo. #TLOU #Thelastofus #ifgoiano #veterinaria #nutricao #zootecnia #educacaofisica #engenhariaeletrica #agronomia #horticultura,2023-03-13 16:03:00,4
[PEDAGOGIA EAD] Saiu a lista de convocados para a terceira chamada do curso de Pedagogia EAD pela Universidade Aberta do Brasil. O aprovados devem se matricular pelo GOV.BR entre os dias 14 e 16 de março. >>> Acesse nosso portal para mais informações: https://bit.ly/3l7FD7E #IFGoiano #PedagogiaEADifgoiano.edu.brDivulgada terceira chamada para Pedagogia EADOs aprovados devem efetuar matrícula online pelo GOV.BR entre os dias 14 e 16 de março....,2023-03-13 12:43:00,0
"[MINICURSO] Alô pós-graduandos, pesquisadores e todos os interessados na área: estão abertas as inscrições para o minicurso ""Desmistificando o Currículo Lattes: elaboração e atualização""! A atividade, que faz parte da II Jornada de Minicursos da Pesquisa, Pós-graduação e Inovação do IF Goiano, será realizada no dia 20 de março, das 19h às 21h, pelo teams. >>> Na página do evento você pode se inscrever e também encontrar orientações para participação: https://bit.ly/3J6azNE",2023-03-10 12:29:00,1
"Você sabe o que é o Conselho de Campus? O IF Goiano está constituindo doze conselhos e realizará eleições para os membros que representem os seguimentos dos alunos, professores e técnicos administrativos.Leia a matéria sobre as eleições no site dos campi.#eleições #conselho #orgulhodeserifgoiano",2023-03-09 17:44:00,1
"[FAROL LITERÁRIO] Atenção escritores de plantão  Estão abertas as inscrições para o 10º Concurso de Contos e 3º Concurso de Poemas do IF Goiano!Podem participar participar estudantes do IF Goiano e comunidade externa, incluindo alunos de escolas públicas e particulares, que tenham a idade mínima de 14 anos. A comissão organizadora realizará lives para auxiliar os candidatos na escrita dos contos e poemas!Os primeiros colocados receberão medalhas e certificados. Também serão convidados para participar de uma mesa durante a III Feira Literária do Vale de São Patrício (Flivasp), evento que será realizado de 24 a 26 de agosto. Os classificados terão, ainda, seus textos publicados em um livro, revista ou e-book de coletâneas organizado pelo IF Goiano.>>> Clique para mais informações e inscrições: https://bit.ly/3yolMUE",2023-03-08 17:30:00,1
"[8 DE MARÇO] Março é o mês da Mulher e o IF Goiano preparou conteúdos especiais para celebrar a data e, ao mesmo tempo, trazer reflexões necessárias, como o papel das mulheres na ciência e a inserção delas no mundo do trabalho. Neste 8 de março, você vai conhecer um pouco da Cristiane Maria Ribeiro, professora e pesquisadora do Campus Urutaí, que tem a militância como o cerne da sua trajetória de vida. É com a história da Cris que aproveitamos a data para inaugurar a nossa nova série “Pesquisador(A) Destaque”, dedicada a homenagear aqueles e aquelas que contribuem para elevar a qualidade da pesquisa, pós-graduação e inovação na Instituição. Conheça mais da história dela no nosso portal.",2023-03-08 14:09:00,4
[NUTRIÇÃO] Você conhece o Guia Alimentar para a População Brasileira? Saiba o que é a publicação e sob quais princípios ela foi desenvolvida. #dicasdenutrição #guiaalimentarbrasileiro,2023-03-07 16:59:00,4
"[CURSOS SUPERIORES] Divulgamos a lista de convocados em segunda chamada do nosso processo seletivo de cursos superiores. Os aprovados poderão se matricular nos dias 7 e 8 de março, pelo GOV.BR. Para conferir os tutoriais de como se matricular, basta acessar nosso portal ou ir direto no www.ifgoiano.edu.br/matriculaParabéns a todos os convocados. Bora juntar a documentação e fazer a matrícula!!!#ifgoiano #cursossuperiores #processoseletivo",2023-03-06 18:34:00,1
[PEDAGOGIA EAD] Divulgamos hoje a lista de convocados em segunda chamada para o curso de Pedagogia EAD pela Universidade Aberta do Brasil. Os aprovados devem efetuar matrícula online pelo GOV.BR entre os dias 3 e 9 de março. Acesse nosso portal e confira como efetuar a matrícula. #ifgoiano #pedagogia #UAB,2023-03-02 14:05:00,1
[CURSOS SUPERIORES] Prorrogamos as matrículas dos aprovados em 1ª chamada e divulgamos hoje um novo cronograma para as demais etapas do nosso processo seletivo de cursos superiores. Ainda tá dando bobeira e não fez sua matrícula? Corre lá no nosso portal e confere os tutoriais que preparamos para vocês! VEM PRO IF GOIANO!#cursossuperiores #processoseletivo #ifgioano,2023-03-01 20:00:00,1
"[PRORROGADAS] As inscrições para o Seminário Científico sobre Agricultura Familiar foram prorrogadas para até 3 de abril. Interessados em submeter trabalhos podem fazê-lo no sistema de inscrições do evento. O seminário faz parte da programação da Agro Centro-Oeste Familiar, que será realizada este ano em Goiânia, na Universidade Federal de Goiás, de 17 a 20 de maio.Saiba mais: https://bit.ly/3mkCQIk#semináriocientífico #agrocentrooestefamiliar #inscrevase #inscriçõesprorrogadas",2023-03-01 14:20:00,1
"[OBRAS COMPLETAS] Sexta-feira, 3, é o último dia que a Editora IF Goiano vai receber obras completas para a coleção Tecnologias do Século 21. Vale para publicações de autores não só do IF Goiano, em diversas áreas do conhecimento, destinadas a estudantes, servidores e pesquisadores. Os selecionados serão publicados na forma de e-book. Para conferir o edital, clique aqui: https://bit.ly/3SBcOgi#seleçãodeobras #editoraifgoiano",2023-03-01 08:47:00,1
"[SEGUNDA CHAMADA] Saiu um novo cronograma do processo seletivo do curso de Licenciatura em Pedagogia, na modalidade Educação a Distância, pela Universidade Aberta do Brasil (UAB). A segunda chamada , será divulgada no dia 2 de março, com matrículas realizadas entre 03 e 09 de março de 2023  A previsão para divulgação da lista de Terceira Chamada (se Houverem vagas disponíveis) é para o dia 13 de março de, com previsão de matrícula para 14 a 16 de março. #ead #UAB #pedagogia #ifgoiano",2023-02-28 19:27:00,1
"Saiu o resultado do Sisu! Parabéns aos aprovado e bora preparar a documentação para a matrícula. Ao contrário dos cursos superiores, a matrícula de aprovados no SISU será feita por e-mail. Lá no nosso portal tem todas as orientações para você!",2023-02-28 19:17:00,1
"[MATRÍCULA] Já tem uma conta no GOV.BR e quer fazer sua matrícula no IF Goiano? Então assiste esse tutorial que preparamos para te ajudar na hora de se matricular na Instituição. Ah, os anexos exigidos no edital já estão inseridos automaticamente no GOV.BR, portanto não precisam ser impressos, basta dar ciência no ato da matrícula.Lembrando que preparamos uma página para te ajudar nesse processo. Se quiser acessar, é só digitar www.ifgoiano.edu.br/matricula",2023-02-24 11:54:00,1
[MATRÍCULA] Está aprovado no nosso processo seletivo e precisa fazer sua matrícula? A gente preparou um tutorial para te ajudar! Dividimos o processo em duas etapas e o primeiro passo é fazer uma conta no GOV.BR. Vamos lá?,2023-02-24 11:48:00,1
"CURSOS SUPERIORES] Divulgado o Resultado Final do Processo Seletivo de Cursos Superiores. Junto com o resultado foi divulgada a lista de convocados para primeira chamada. As matrículas da primeira chamada serão realizadas entre os dias 25 e 28 de fevereiro, pelo GOV.BR . Amanhã a gente divulga o tutorial ensinando o passo a passo para se matricular por lá. No resultado, o seu status pode estar como ""Aprovado"", caso você tenha sido convocado para a primeira chamada. Se estiver como ""Em espera"", você precisa esperar sair a lista de segunda ou terceira chamada com o seu nome, para se matricular. Parabéns a todos os aprovados. Sejam bem-vindos ao IF Goiano!Para conferir o resultado, acesse nosso portal www.ifgoiano.edu.br#processoseletivo #enem #ifgoiano #resultadofinal",2023-02-23 19:26:00,1
"[MOOC] Já pensou em produzir sua própria cerveja? Aqui no IF Goiano oferecemos o curso “Produção Artesanal de Cervejas"". É gratuito e 100% on-line, com duração total de 20 horasO que você pode aprender?Conceitos, tipos, legislação, uso dos lúpulos, moagem, filtração e muito mais sobre ""Produção de Cerveja Artesanal""Quem pode se inscrever?Interessados, maiores de 18 anos, em adquirir uma visão inicial sobre o universo rico das cervejas, suas diferentes famílias e tipos, bem como uma noção teórica sobre o processo de produção artesanal caseira e os equipamentos necessários.Objetivo do curso:Contribuir para elevar o conhecimento científico e tecnológico e possibilitar a atuação no mercado de trabalho>>> Inscreva-se já: https://bit.ly/3XUBeSL",2023-02-23 14:29:00,1
"[PEDAGOGIA EAD] Atenção: o prazo de matrículas do curso de Pedagogia EaD foi prorrogado! Agora os aprovados podem se matricular até segunda-feira, 27.De acordo com a Comissão organizadora do processo, a alteração do cronograma foi necessária pelo fato do balcão digital do Governo Federal, que fica no Datacenter do IFRN, ter permanecido offline, com previsão de retorno no final da manhã de hoje.>>>Acesse a retificação e confira os novos prazos: https://bit.ly/3YUZYMh #ifgoiano #pedagogiaead",2023-02-23 13:16:00,1
"Chegou a hora da nossa última dica de Carnaval e isso quer dizer que tá acabandooo! Essa é pra quem sabe respeitar, heim?! Esperamos que tenham curtido muito e que nossas dicas tenham ajudado vocês!",2023-02-21 11:03:00,1
"Chegou a hora da nossa última dica de Carnaval e isso quer dizer que tá acabandooo! Essa é pra quem sabe respeitar, heim?! Esperamos que tenham curtido muito e que nossas dicas tenham ajudado vocês!",2023-02-21 11:00:00,1
"Tá acabando, heim? Lembrando que Carnaval também é época de respeitar a diversidade. Estão gostando das dicas?",2023-02-20 11:03:00,1
"Tá acabando, heim? Lembrando que Carnaval também é época de respeitar a diversidade. Estão gostando das dicas?",2023-02-20 11:02:00,1
"Segundo dia de Carnaval e como vocês estão por aí? Bora curtir o carnaval, mas sem enfiar os dois pés na Jaca, heim?! Boa folia para vocês!",2023-02-19 11:01:00,1
"Segundo dia de Carnaval e como vocês estão por aí? Bora curtir o carnaval, mas sem enfiar os dois pés na Jaca, heim?! Boa folia para vocês!",2023-02-19 11:00:00,1
O Carnaval tá chegando e a gente tá iniciando uma campanha pra você curtir com respeito e segurança. De hoje até terça vamos postando algumas dicas para vocês não perderem o compasso!,2023-02-18 11:03:00,1
O Carnaval tá chegando e a gente tá iniciando uma campanha pra você curtir com respeito e segurança. De hoje até terça vamos postando algumas dicas para vocês não perderem o compasso!,2023-02-18 11:01:00,1
"[PÓS-GRADUAÇÃO] Se você ainda não se inscreveu na seleção de Mestrados e Doutorado do IF Goiano, a hora é agora! As inscrições foram prorrogadas e o novo prazo vai até 24 de fevereiro.Ao todo são 148 vagas para diversas áreas e campi, tanto para pós-graduações acadêmicas quanto profissionais.>>> Inscreva-se já: https://bit.ly/414lfEt",2023-02-17 11:40:00,1
,2023-02-15 20:07:00,1
"Vocês estão lembrando que amanhã começam as inscrições para o SISU 2023? Quem tiver interesse pode se inscrever entre 16 e 24 de fevereiro de 2023, no período de Carnaval. A Instituição irá ofertar 99 vagas no certame divididas entre 30 cursos nas unidades de Catalão, Cristalina, Hidrolândia, Ipameri, Iporá, Ceres, Morrinhos, Posse, Rio Verde, Trindade e Urutaí. Lembrando que quem se candidatou no processo seletivo de cursos superiores do IF Goiano, também pode tentar uma vaga pelo SISU. Acesse nosso portal e saiba mais. #sisu #ifgoiano #enem #cursosuperior",2023-02-15 18:19:00,1
"[PEDAGOGIA EAD] A espera acabou! Saiu o resultado final do nosso curso de Pedagogia EAD, pela Universidade Aberta do Brasil. A lista está disponível no nosso portal.>>> Vai lá: https://bit.ly/3IqcU6V",2023-02-15 13:25:00,1
"[EDITORA] Está chegando ao fim o prazo para a submissão de artigos de Ciências Agrárias para compor publicação da Editora IF Goiano. O envio pode ser feito até quarta-feira, 15, para o e-mail editora@ifgoiano.edu.br. As obras selecionadas serão publicadas no formato de e-book e disponibilizadas no repositório da Instituição. O edital pode ser conferido no nosso portal: https://bit.ly/3YKbQ31Participe! #editoraifgoiano #publicaçãocientifica #ifgoiano #ciênciasagrárias #publiqueseuartigo",2023-02-13 12:56:00,1
"ATENÇÃO!!!Estão abertas do dia 01 de fevereiro à 31 de março de 2013, as inscrições para os agricultores familiares interessados em participar da Feira Interinstitucional Agroecológica.Poderão se inscrever os agricultores localizados a no máximo 100 km de distância do território rural/urbano até o trevo do município de Goiânia e que possuam o Cadastro Nacional da AgriculturaFamiliar (CAF) ou a Declaração de Aptidão ao PRONAF/DAP Física ou Jurídica do estado de Goiás.Os agricultores selecionados poderão participar do projeto por 2 anos e as feiras acontecerão mensalmente na UFG, IFG, IFG Goiano e SIASS IF Goiano.Quaisquer dúvidas encaminhem para o e-mail: feiraagroecologicaifes1@gmail.com.O edital e mais informações estão disponíveis no nosso portal: https://bit.ly/3Z3GbKj",2023-02-13 11:53:00,1
"Desde 2015 comemoramos o Dia Internacional das Mulheres e Meninas na Ciência. Mais do que uma celebração, a data tem o objetivo de lembrar que ainda são necessários esforços para que haja participação igualitária entre homens e mulheres na ciência!!O IF Goiano parabeniza todas as nossas pesquisadoras (alunas e servidoras) e lembra que ainda falta muito para que as condições sejam, de fato, justas!",2023-02-11 15:06:00,1
"[PEDAGOGIA EAD] Tem um monte de gente perguntando desse resultado e a gente veio avisar que SAIUUUUU!! Divulgado o resultado preliminar para o nosso curso de Pedagogia EAD, pela Universidade Aberta do Brasil. Você pode conferir o documento lá no nosso Portal ou acessar o link pelo Stories!Não vale confundir com o Resultado do Processo Seletivo de Cursos Superiores. O Cronograma desse ainda vai ser divulgado na próxima semana. #pedagogia #licenciatura #uab",2023-02-10 19:50:00,1
"[ENEM] Vocês já podem consultar as suas notas do Enem, sabiam? A gente sabe que agora vocês estão ansiosos com o resultado do nosso processo seletivo, mas pedimos um pouquinho mais de paciência. No início da semana que vem vamos divulgar um cronograma com todas as datas de resultados e matrícula, combinado? Por enquanto bora só comemorar o desempenho e não esquece de contar aqui pra gente como vocês saíram!! #enem #processoseletivo #ifgoiano",2023-02-09 14:05:00,1
[PÓS-GRADUAÇÃO] Estão chegando ao fim as inscrições do nosso Processo Seletivo para cursos de Mestrado e Doutorado. Quem quiser subir o próximo degrau na sua qualificação profissional deve se inscrever pela internet até o dia 18 de fevereiro. São 148 vagas para pós-graduações acadêmicas e profissionais. Os cursos são TOTALMENTE GRATUITOS. Vem estudar com a gente! Acesse o site www.ifgoiano.edu/br/posgraduacao e inscreva-se.#ifgoiano #processoseletivo #posgraduacao,2023-02-07 18:09:00,1
"[PRÊMIO] Atenção: Mil estudantes de graduação vão receber R$5 mil, cada!Essa é a proposta do Prêmio CAPES #TalentoUniversitário. A ação vai premiar os alunos que alcançarem as melhores notas em uma prova de conhecimentos gerais, que será aplicada em todo o País, no dia 26 de março. Interessados devem se inscrever até 22 de fevereiro. Link nos stories.",2023-02-07 14:49:00,1
"[PRÊMIO] Atenção: Mil estudantes de graduação vão receber R$5 mil, cada!Essa é a proposta do Prêmio CAPES #TalentoUniversitário. A ação vai premiar os alunos que alcançarem as melhores notas em uma prova de conhecimentos gerais, que será aplicada em todo o País, no dia 26 de março. Interessados devem se inscrever até 22 de fevereiro.>>> Inscreva-se: https://capes.gov.br/O36tr",2023-02-07 14:48:00,1
"[NUTRIÇÃO] Dicas da Conutri IF Goiano para uma alimentação na volta às aulasO que você sabe sobre alimentação no seu campus?A maioria dos campi do IF Goiano oferece alimentação para os estudantes do ensino básico e ensino superior de forma gratuita ou subsidiada.A intenção é ofertar uma alimentação saudável, equilibrada, que atenda as necessidades nutricionais e respeite a cultura alimentar da sua região e também o meio ambiente.Procure o Setor Responsável pelos Assuntos Estudantis para mais informações do seu campus.",2023-02-06 11:00:00,4
"[INÍCIO DAS AULAS] Preparamos um calendário completo com o início das aulas de todas elas. Fique de olho, pois cada campus tem sua data específica e calouros de cursos superiores iniciam um pouco mais adiante em alguns deles. Para conferir, clique aqui: https://bit.ly/3XwDtMUSejam bem-vindos (de volta) à nossa Instituição querida!#retornoàsaulas #iníciodasaulas #cronograma #calendário",2023-01-23 11:40:00,1
"[PÓS-GRADUAÇÃO] Na segunda-feira, 23, começam as inscrições do nosso Processo Seletivo para cursos de Mestrado e Doutorado. Quem quiser subir o próximo degrau na sua qualificação profissional deve se inscrever pela internet até 18 de fevereiro. São 148 vagas para pós-graduações acadêmicas e profissionais. Os cursos são TOTALMENTE GRATUITOS. Vem estudar com a gente!Acesse: www.ifgoiano.edu.br/posgraduacao#ifgoiano #processoseletivo #posgraduacao",2023-01-20 16:13:00,1
"[CURSOS SUPERIORES] Interessados em fazer um curso superior no IF Goiano têm só até amanhã para se inscrever. São mais de 1,8 mil vagas em 12 campi diferentes e o melhor: tudo de graça. Não perca a oportunidade de garantir o seu futuro profissional numa das melhores instituições de ensino goianas. Inscreva-se agora: https://bit.ly/3QVgzfE#ifgoiano #processoseletivo #cursosuperior #últimosdias #inscrevase",2023-01-20 14:11:00,1
"[PUBLICAÇÃO] IF Goiano divulga sexta edição da Ciclo Revista. Com o tema ""Práticas educacionais durante a pandemia: vivências e aprendizados"", a publicação reúne 20 artigos inéditos produzidos por docentes, técnicos administrativos e estudantes de pós-graduação da Instituição.Os textos tratam de questões importantes para a Educação Profissional e Tecnológica, referentes à evasão dos estudantes nos cursos técnicos e superiores no período de pandemia e as estratégias para superar o problema. >>> Clique e veja a Ciclo Revista: https://periodicos.ifgoiano.edu.br/ciclo/issue/view/84",2023-01-18 14:54:00,1
"[PEDAGOGIA EAD] Divulgamos retificação do processo seletivo do curso de Licenciatura em Pedagogia, na modalidade Educação a Distância, nos polos de apoio presencial pela Universidade Aberta do Brasil (UAB). O novo cronograma prevê divulgação de resultado na quarta-feira, 18 de janeiro. Acesse nosso portal e saiba mais (link na bio). #ifgoiano #pedagogiaead",2023-01-17 11:27:00,1
