titulo,descricao,data_hora,dia_semana,periodo_dia,imagens,acessos,acessos_medio_hora,tem_imagem_perfil
Últimos dias para se inscrever na seleção de mestrados e doutorado,"Interessados têm até sábado, 18, para concorrer a uma das 148 vagas em 13 cursos gratuitos.",2023-02-14 10:33:00,terca,manha,1,312,14.45,sim
Lançado e-book Farol Literário,Coletânea é composta de obras dos ganhadores do IX Concurso de Contos e II Concurso de Poemas do IF Goiano,2023-02-14 15:32:00,terca,tarde,1,30,1.81,sim
Últimos dias para submeter artigos de Ciências Agrárias,"Interessados têm até quarta-feira, 15, para envio dos textos.",2023-02-14 10:28:00,terca,manha,1,64,2.95,sim
Divulgado resultado preliminar para Pedagogia EAD,Divulgação do resultado final e convocação para matrícula estão previstos para o dia 14 de fevereiro.,2023-02-10 16:42:00,sexta,tarde,1,2280,20.46,sim
Inscrições abertas para feira agroecológica,Agricultores familiares interessados devem enviar a documentação para o e-mail feiraagroecologicaifes1@gmail.com até 31 de março.,2023-02-13 08:29:00,segunda,manha,1,88,1.84,sim
Divulgada retificação de edital para bolsista de pós-doutorado,Documento altera requisitos do candidato à bolsa e das propostas para cada programa de pós-graduação. Inscrições vão até 22 de fevereiro.,2023-02-10 09:24:00,sexta,manha,1,163,1.37,sim
Divulgadas notas do Enem 2022,Participantes podem consultar pelo site do Inep. Novo cronograma do Processo Seletivo de cursos superiores do IF Goiano será divulgado na próxima semana.,2023-02-09 11:35:00,quinta,manha,1,817,5.81,sim
Divulgado edital de bolsas para mestrado e doutorado,"As vagas são para docentes e técnicos administrativos das unidades de Cristalina, Iporá, Morrinhos, Reitoria e Rio Verde. Inscrições podem ser realizadas de 10 a 27 de fevereiro, pelo Suap.",2023-02-07 08:21:00,terca,manha,1,449,2.34,sim
Divulgado edital de liberação de docentes para capacitação,Interessados podem se inscrever entre os dias 9 a 24 de fevereiro pelo SUAP.,2023-02-06 10:41:00,segunda,manha,1,298,1.4,sim
Confira resultado preliminar para movimentação de pessoal,"Vaga é para o cargo de técnico em Contabilidade, no Campus Urutaí.",2023-02-03 10:32:00,sexta,manha,1,477,1.67,sim
